GRODZISK MAZ. / MILANîWEK - WARSZAWA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rozk¸ad jazdy waýny od  2010.12.12;;;D;  D;  D;; ; ;  D;;  D;  D;D;;  D;D;;  D;D;;D;;D;  D;;  D;  D;  D;;  D;;  D;;;;;
;km;;100;102;2200;104;106;2202;200;108;300;110;112;202;302;114;116;400;118;204;402;120;122;404;206;406;304;306;124;408;208;410;126;210;128;212;130
;0;GRODZISK MAZ. RADOÁSKA;3:48;4:03;4:18;4:30;4:48;5:03;;5:15;;5:30;5:48;;;6:20;6:35;;6:50;;;7:25;7:40;;;;;;8:35;;;;9:35;;10:35;;11:35
;1;Grodzisk Maz. Jordanowice;3:49;4:04;|;4:31;4:49;|;;5:16;;5:31;5:49;;;6:21;6:36;;6:51;;;7:26;7:41;;;;;;8:36;;;;9:36;;10:36;;11:36
;2;Grodzisk Maz. Piaskowa;3:51;4:06;|;4:33;4:51;|;;5:18;;5:33;5:51;;;6:23;6:38;;6:53;;;7:28;7:43;;;;;;8:38;;;;9:38;;10:38;;11:38
;3;Grodzisk Maz. Okr«ýna;3:53;4:08;|;4:35;4:53;|;;5:20;;5:35;5:53;;;6:25;6:40;;6:55;;;7:30;7:45;;;;;;8:40;;;;9:40;;10:40;;11:40
;4;Brz—zki;3:55;4:10;|;4:37;4:55;|;;5:22;;5:37;5:55;;;6:27;6:42;;6:57;;;7:32;7:47;;;;;;8:42;;;;9:42;;10:42;;11:42
;6;Kazimier—wka;3:58;4:13;|;4:40;4:58;|;;5:25;;5:40;5:58;;;6:30;6:45;;7:00;;;7:35;7:50;;;;;;8:45;;;;9:45;;10:45;;11:45
;7;Podkowa Leæna Zachodnia;4:00;4:15;|;4:42;5:00;|;;5:27;;5:42;6:00;;;6:32;6:47;;7:02;;;7:37;7:52;;;;;;8:47;;;;9:47;;10:47;;11:47
;0;MILANîWEK GRUDîW;>;>;>;>;>;>;5:10;>;;>;>;6:05;;>;>;;>;7:10;;>;>;;8:10;;;;>;;9:10;;>;10:10;>;11:10;>
;1;Polesie;>;>;>;>;>;>;5:12;>;;>;>;6:07;;>;>;;>;7:12;;>;>;;8:12;;;;>;;9:12;;>;10:12;>;11:12;>
;3;Podkowa Leæna Zachodnia;>;>;>;>;>;>;5:15;>;;>;>;6:10;;>;>;;>;7:15;;>;>;;8:15;;;;>;;9:15;;>;10:15;>;11:15;>
;8;PODKOWA LEåNA GüîWNA;4:03;4:18;4:28;4:45;5:03;5:13;5:20;5:30;5:45;5:45;6:03;6:15;6:25;6:35;6:50;;7:05;7:20;;7:40;7:55;;8:20;;8:30;8:40;8:50;;9:20;;9:50;10:20;10:50;11:20;11:50
;9;Podkowa Leæna Wschodnia;4:04;4:19;;4:46;5:04;;5:21;5:31;5:46;5:46;6:04;6:16;6:26;6:36;6:51;;7:06;7:21;;7:41;7:56;;8:21;;8:31;8:41;8:51;;9:21;;9:51;10:21;10:51;11:21;11:51
