WARSZAWA - GRODZISK MAZ. / MILANîWEK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rozk¸ad jazdy waýny od  2010.12.12;;;;  D;  D;A;;  D;;;D;;  D;D;;D;  D;;  D;  D;;D;;  D;  D;  D;;D;;  D;;  D;;;;;
;km;;167;2231;101;201;103;301;203;105;401;205;403;303;107;109;405;207;407;111;113;409;209;411;413;115;117;119;211;121;123;125;213;127;215;129;
;0;W-WA åRîDMIEåCIE WKD;0:20;;4:50;5:05;5:20;5:35;6:05;6:20;6:30;6:40;7:00;7:10;7:20;7:30;7:40;7:50;8:05;8:05;8:20;8:35;8:50;8:58;9:05;9:05;9:20;9:35;9:50;10:05;10:20;10:35;10:50;11:20;11:50;12:20;
;1;W-wa Ochota WKD;0:21;;4:51;5:06;5:21;5:36;6:06;6:21;6:31;6:41;7:01;7:11;7:21;7:31;7:41;7:51;8:06;8:06;8:21;8:36;8:51;8:59;9:06;9:06;9:21;9:36;9:51;10:06;10:21;10:36;10:51;11:21;11:51;12:21;
;3;W-wa Zachodnia WKD;0:24;;4:54;5:09;5:24;5:39;6:09;6:24;6:34;6:44;7:04;7:14;7:24;7:34;7:44;7:54;8:09;8:09;8:24;8:39;8:54;9:02;9:09;9:09;9:24;9:39;9:54;10:09;10:24;10:39;10:54;11:24;11:54;12:24;
;4;W-wa Reduta Ordona;0:26;;4:56;5:11;5:26;5:41;6:11;6:26;6:36;6:46;7:06;7:16;7:26;7:36;7:46;7:56;8:11;8:11;8:26;8:41;8:56;9:04;9:11;9:11;9:26;9:41;9:56;10:11;10:26;10:41;10:56;11:26;11:56;12:26;
;6;W-wa Al. Jerozolimskie;0:28;;4:58;5:13;5:28;5:43;6:13;6:28;6:38;6:48;7:08;7:18;7:28;7:38;7:48;7:58;8:13;8:13;8:28;8:43;8:58;9:06;9:13;9:13;9:28;9:43;9:58;10:13;10:28;10:43;10:58;11:28;11:58;12:28;
;7;W-wa Rak—w;0:31;;5:01;5:16;5:31;5:46;6:16;6:31;6:41;6:51;7:11;7:21;7:31;7:41;7:51;8:01;8:16;8:16;8:31;8:46;9:01;9:09;9:16;9:16;9:31;9:46;10:01;10:16;10:31;10:46;11:01;11:31;12:01;12:31;
;8;W-wa Salomea;0:33;;5:03;5:18;5:33;5:48;6:18;6:33;6:43;6:53;7:13;7:23;7:33;7:43;7:53;8:03;8:18;8:18;8:33;8:48;9:03;9:11;9:18;9:18;9:33;9:48;10:03;10:18;10:33;10:48;11:03;11:33;12:03;12:33;
;10;Opacz;0:35;;5:05;5:20;5:35;5:50;6:20;6:35;6:45;6:55;7:15;7:25;7:35;7:45;7:55;8:05;8:20;8:20;8:35;8:50;9:05;9:13;9:20;9:20;9:35;9:50;10:05;10:20;10:35;10:50;11:05;11:35;12:05;12:35;
;11;Micha¸owice;0:38;;5:08;5:23;5:38;5:53;6:23;6:38;6:48;6:58;7:18;7:28;7:38;7:48;7:58;8:08;8:23;8:23;8:38;8:53;9:08;9:16;9:23;9:23;9:38;9:53;10:08;10:23;10:38;10:53;11:08;11:38;12:08;12:38;
;13;Regu¸y;0:40;;5:10;5:25;5:40;5:55;6:25;6:40;6:50;7:00;7:20;7:30;7:40;7:50;8:00;8:10;8:25;8:25;8:40;8:55;9:10;9:18;9:25;9:25;9:40;9:55;10:10;10:25;10:40;10:55;11:10;11:40;12:10;12:40;
;14;Malichy;0:42;;5:12;5:27;5:42;5:57;6:27;6:42;6:52;7:02;7:22;7:32;7:42;7:52;8:02;8:12;8:27;8:27;8:42;8:57;9:12;9:20;9:27;9:27;9:42;9:57;10:12;10:27;10:42;10:57;11:12;11:42;12:12;12:42;
;16;Tworki;0:44;;5:14;5:29;5:44;5:59;6:29;6:44;6:54;7:04;7:24;7:34;7:44;7:54;8:04;8:14;8:29;8:29;8:44;8:59;9:14;9:22;9:29;9:29;9:44;9:59;10:14;10:29;10:44;10:59;11:14;11:44;12:14;12:44;
;17;Pruszk—w WKD;0:46;;5:16;5:31;5:46;6:01;6:31;6:46;6:56;7:06;7:26;7:36;7:46;7:56;8:06;8:16;8:31;8:31;8:46;9:01;9:16;9:24;9:31;9:31;9:46;10:01;10:16;10:31;10:46;11:01;11:16;11:46;12:16;12:46;
;18;KOMORîW;0:50;;5:20;5:35;5:50;6:05;6:35;6:50;6:59;7:10;7:29;7:40;7:50;8:00;8:09;8:20;8:34;8:35;8:50;9:04;9:20;9:27;9:34;9:35;9:50;10:05;10:20;10:35;10:50;11:05;11:20;11:50;12:20;12:50;
